timestamp,open,high,low,close,volume
2026-04-12 12:00:00,71468.54,71500.0,71077.44,71084.01,608.12473
2026-04-12 13:00:00,71084.01,71146.03,70866.82,70889.42,708.82478
2026-04-12 14:00:00,70889.42,71092.78,70700.0,70748.34,541.94034
2026-04-12 15:00:00,70748.34,70932.0,70604.07,70892.03,502.43194
2026-04-12 16:00:00,70892.04,70959.51,70821.05,70936.27,259.94883
2026-04-12 17:00:00,70936.27,71202.0,70900.0,71140.51,322.7326
2026-04-12 18:00:00,71140.51,71214.08,71056.2,71137.64,176.22609
2026-04-12 19:00:00,71137.65,71222.58,71078.76,71084.18,233.07874
2026-04-12 20:00:00,71084.18,71440.0,70956.83,71335.43,622.27061
2026-04-12 21:00:00,71335.43,71452.0,71163.01,71364.02,234.93742
2026-04-12 22:00:00,71364.03,71367.85,70505.88,70912.73,908.94869
2026-04-12 23:00:00,70912.73,70912.73,70571.66,70740.98,510.34077
2026-04-13 00:00:00,70741.56,71262.63,70615.3,71172.62,546.73984
2026-04-13 01:00:00,71172.63,71227.28,71027.26,71197.64,720.27854
2026-04-13 02:00:00,71197.64,71271.78,70986.71,71073.14,270.71272
2026-04-13 03:00:00,71073.14,71155.42,70917.27,70976.0,348.9161
2026-04-13 04:00:00,70975.99,71144.0,70854.29,70890.3,584.47308
2026-04-13 05:00:00,70890.3,70920.0,70672.72,70878.82,533.46945
2026-04-13 06:00:00,70878.82,71106.54,70878.82,71017.66,697.01918
2026-04-13 07:00:00,71017.66,71067.91,70685.25,70813.88,859.13978
2026-04-13 08:00:00,70813.88,70861.01,70566.99,70680.7,334.12518
2026-04-13 09:00:00,70680.7,70910.68,70678.0,70792.88,250.58431
2026-04-13 10:00:00,70792.89,70846.9,70688.28,70755.88,177.99631
2026-04-13 11:00:00,70755.89,70997.12,70736.29,70929.68,260.33899
2026-04-13 12:00:00,70929.68,71219.8,70758.5,71074.91,460.129
2026-04-13 13:00:00,71074.92,71700.82,70818.57,71662.65,1544.74455
2026-04-13 14:00:00,71662.65,72401.0,71375.24,72400.15,2098.23774
2026-04-13 15:00:00,72400.15,72464.28,71652.65,71866.59,1342.3378
2026-04-13 16:00:00,71866.59,72437.25,71679.8,72202.36,1514.19404
2026-04-13 17:00:00,72202.37,72600.0,72069.01,72148.87,1653.64723
2026-04-13 18:00:00,72148.87,72460.42,72053.78,72424.86,965.95939
2026-04-13 19:00:00,72424.86,73480.0,72298.93,73322.82,2632.95065
2026-04-13 20:00:00,73322.0,73394.37,73007.08,73149.36,1081.57049
2026-04-13 21:00:00,73149.36,73368.08,73072.85,73179.71,387.90227
2026-04-13 22:00:00,73179.71,74746.61,73172.01,74627.04,3298.60756
2026-04-13 23:00:00,74627.04,74900.0,74405.64,74417.99,1666.14205
2026-04-14 00:00:00,74418.0,74517.31,74102.39,74163.82,1276.45858
2026-04-14 01:00:00,74163.82,74431.0,73954.86,74386.02,1065.1631
2026-04-14 02:00:00,74386.03,74579.32,74283.2,74330.98,598.05117
2026-04-14 03:00:00,74330.99,74496.9,74252.35,74444.43,646.36946
2026-04-14 04:00:00,74444.44,74504.52,74351.55,74387.85,484.30563
2026-04-14 05:00:00,74387.85,74434.41,74150.6,74210.11,838.40961
2026-04-14 06:00:00,74210.12,74550.0,74210.12,74522.73,614.57152
2026-04-14 07:00:00,74522.72,74924.64,74430.92,74546.0,1456.55359
2026-04-14 08:00:00,74545.99,74910.0,74460.64,74750.0,938.29896
2026-04-14 09:00:00,74750.0,74830.93,74435.12,74500.0,565.8647
2026-04-14 10:00:00,74500.0,74617.92,74333.46,74350.01,540.18312
2026-04-14 11:00:00,74350.01,74450.63,74307.35,74376.52,653.35819
2026-04-14 12:00:00,74376.52,74485.06,74277.19,74452.0,513.51818
2026-04-14 13:00:00,74452.0,75532.94,74407.74,75525.94,3246.78739
2026-04-14 14:00:00,75525.94,76038.0,75013.61,75013.62,4357.56106
2026-04-14 15:00:00,75013.61,75441.99,74564.34,75317.07,1661.60412
2026-04-14 16:00:00,75317.06,75688.0,74527.02,74652.2,1265.45725
2026-04-14 17:00:00,74652.2,74948.78,74244.63,74748.9,985.979
2026-04-14 18:00:00,74748.89,74814.99,73795.47,74093.19,1613.97962
2026-04-14 19:00:00,74093.18,74398.43,73882.79,74223.18,1054.69346
2026-04-14 20:00:00,74223.3,74434.33,74015.53,74102.29,434.25271
2026-04-14 21:00:00,74102.28,74320.44,73951.64,74277.15,381.06364
2026-04-14 22:00:00,74277.16,74373.19,73806.09,74023.15,638.74603
2026-04-14 23:00:00,74023.16,74232.83,74001.08,74131.55,701.71447
